Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
vector-gen-8-6 | MinimaxPlayer | MinimaxPlayer | FunctionVector | 1 | 2 | 0.8 | 0.6

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 46.523 | 727.834473024 | -354.216674904 | 983.799154084 | 38 | [{'other_secondary_1': 4, 'self_secondary_1': 3, 'self_secondary_2': 4, 'other_secondary_2': -2} + 5, {'self_secondary_1': -2, 'self_secondary_2': -3} + 1, {'self_secondary_1': -2, 'self_secondary_2': 1, 'self_primary_1': -1} + 2, {'other_secondary_1': -4, 'self_secondary_1': 3, 'self_secondary_2': 0, 'other_secondary_2': 1} + -2, {'self_secondary_1': -3, 'self_secondary_2': 2, 'self_primary_1': -3} + 1, {'self_secondary_1': -3, 'self_secondary_2': 4, 'self_primary_1': 0} + -5]
2 | 33.984 | 764.297739604 | -156.379959323 | 933.940643868 | 634 | [{'other_secondary_1': -5, 'self_secondary_1': -5, 'self_secondary_2': 1, 'other_secondary_2': 0} + -3, {'self_secondary_1': 2, 'self_secondary_2': -3} + 5, {'other_secondary_1': 5, 'other_primary_1': 6, 'other_secondary_2': -2, 'self_secondary_1': 5, 'self_secondary_2': -1, 'self_primary_1': 5} + -3, {'other_secondary_1': -1, 'self_secondary_1': -2, 'self_secondary_2': 0, 'other_secondary_2': 3} + -5, {'self_secondary_1': -1, 'self_secondary_2': -1, 'self_primary_1': -7} + 4, {'self_secondary_1': -7, 'self_secondary_2': -5, 'self_primary_1': -3} + -7]
3 | 28.995 | 764.297739604 | 286.623150491 | 643.894952486 | 634 | [{'other_secondary_1': -5, 'self_secondary_1': -5, 'self_secondary_2': 1, 'other_secondary_2': 0} + -3, {'self_secondary_1': 2, 'self_secondary_2': -3} + 5, {'other_secondary_1': 5, 'other_primary_1': 6, 'other_secondary_2': -2, 'self_secondary_1': 5, 'self_secondary_2': -1, 'self_primary_1': 5} + -3, {'other_secondary_1': -1, 'self_secondary_1': -2, 'self_secondary_2': 0, 'other_secondary_2': 3} + -5, {'self_secondary_1': -1, 'self_secondary_2': -1, 'self_primary_1': -7} + 4, {'self_secondary_1': -7, 'self_secondary_2': -5, 'self_primary_1': -3} + -7]
4 | 30.518 | 764.297739604 | 249.804088105 | 711.971306133 | 634 | [{'other_secondary_1': -5, 'self_secondary_1': -5, 'self_secondary_2': 1, 'other_secondary_2': 0} + -3, {'self_secondary_1': 2, 'self_secondary_2': -3} + 5, {'other_secondary_1': 5, 'other_primary_1': 6, 'other_secondary_2': -2, 'self_secondary_1': 5, 'self_secondary_2': -1, 'self_primary_1': 5} + -3, {'other_secondary_1': -1, 'self_secondary_1': -2, 'self_secondary_2': 0, 'other_secondary_2': 3} + -5, {'self_secondary_1': -1, 'self_secondary_2': -1, 'self_primary_1': -7} + 4, {'self_secondary_1': -7, 'self_secondary_2': -5, 'self_primary_1': -3} + -7]
5 | 30.508 | 778.891680643 | 247.84437191 | 717.333956153 | 1646 | [{'other_secondary_1': 5, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': 5} + 0, {'self_secondary_1': -1, 'self_secondary_2': 1} + -13, {'self_secondary_1': 4, 'self_secondary_2': 4, 'self_primary_1': 9} + -8, {'other_secondary_1': 4, 'self_secondary_1': -2, 'self_secondary_2': -3, 'other_secondary_2': 5} + -5, {'other_secondary_1': 13, 'other_primary_1': -3, 'other_secondary_2': 4, 'self_secondary_1': -5, 'self_secondary_2': 3, 'self_primary_1': -4} + -3, {'self_secondary_1': -8, 'self_secondary_2': 0, 'self_primary_1': 1} + -5]
6 | 29.893 | 778.891680643 | 274.564178389 | 698.737963595 | 1646 | [{'other_secondary_1': 5, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': 5} + 0, {'self_secondary_1': -1, 'self_secondary_2': 1} + -13, {'self_secondary_1': 4, 'self_secondary_2': 4, 'self_primary_1': 9} + -8, {'other_secondary_1': 4, 'self_secondary_1': -2, 'self_secondary_2': -3, 'other_secondary_2': 5} + -5, {'other_secondary_1': 13, 'other_primary_1': -3, 'other_secondary_2': 4, 'self_secondary_1': -5, 'self_secondary_2': 3, 'self_primary_1': -4} + -3, {'self_secondary_1': -8, 'self_secondary_2': 0, 'self_primary_1': 1} + -5]
7 | 31.778 | 778.891680643 | 231.988738693 | 751.964904337 | 1646 | [{'other_secondary_1': 5, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': 5} + 0, {'self_secondary_1': -1, 'self_secondary_2': 1} + -13, {'self_secondary_1': 4, 'self_secondary_2': 4, 'self_primary_1': 9} + -8, {'other_secondary_1': 4, 'self_secondary_1': -2, 'self_secondary_2': -3, 'other_secondary_2': 5} + -5, {'other_secondary_1': 13, 'other_primary_1': -3, 'other_secondary_2': 4, 'self_secondary_1': -5, 'self_secondary_2': 3, 'self_primary_1': -4} + -3, {'self_secondary_1': -8, 'self_secondary_2': 0, 'self_primary_1': 1} + -5]
8 | 30.175 | 778.891680643 | 288.745185061 | 704.025595297 | 1646 | [{'other_secondary_1': 5, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': 5} + 0, {'self_secondary_1': -1, 'self_secondary_2': 1} + -13, {'self_secondary_1': 4, 'self_secondary_2': 4, 'self_primary_1': 9} + -8, {'other_secondary_1': 4, 'self_secondary_1': -2, 'self_secondary_2': -3, 'other_secondary_2': 5} + -5, {'other_secondary_1': 13, 'other_primary_1': -3, 'other_secondary_2': 4, 'self_secondary_1': -5, 'self_secondary_2': 3, 'self_primary_1': -4} + -3, {'self_secondary_1': -8, 'self_secondary_2': 0, 'self_primary_1': 1} + -5]
9 | 30.74 | 778.891680643 | 281.614314751 | 722.519690453 | 1646 | [{'other_secondary_1': 5, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': 5} + 0, {'self_secondary_1': -1, 'self_secondary_2': 1} + -13, {'self_secondary_1': 4, 'self_secondary_2': 4, 'self_primary_1': 9} + -8, {'other_secondary_1': 4, 'self_secondary_1': -2, 'self_secondary_2': -3, 'other_secondary_2': 5} + -5, {'other_secondary_1': 13, 'other_primary_1': -3, 'other_secondary_2': 4, 'self_secondary_1': -5, 'self_secondary_2': 3, 'self_primary_1': -4} + -3, {'self_secondary_1': -8, 'self_secondary_2': 0, 'self_primary_1': 1} + -5]
10 | 31.488 | 778.891680643 | 258.297431128 | 756.348587092 | 1646 | [{'other_secondary_1': 5, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': 5} + 0, {'self_secondary_1': -1, 'self_secondary_2': 1} + -13, {'self_secondary_1': 4, 'self_secondary_2': 4, 'self_primary_1': 9} + -8, {'other_secondary_1': 4, 'self_secondary_1': -2, 'self_secondary_2': -3, 'other_secondary_2': 5} + -5, {'other_secondary_1': 13, 'other_primary_1': -3, 'other_secondary_2': 4, 'self_secondary_1': -5, 'self_secondary_2': 3, 'self_primary_1': -4} + -3, {'self_secondary_1': -8, 'self_secondary_2': 0, 'self_primary_1': 1} + -5]
