Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
tree-gen-high-retention-equal-others | MinimaxPlayer | MinimaxPlayer | FunctionTree | 1 | 2 | 0.6 | 0.2

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 40.34 | 666.666666667 | -700.541235596 | 914.075005691 | 84 | [((self_secondary_1 + self_secondary_1) - self_secondary_1), ((other_secondary_2 - 39) + 1), ((60 * 16) + (other_secondary_2 / 2)), ((other_secondary_1 / self_secondary_2) - (other_secondary_1 + other_secondary_2)), ((other_primary_1 + other_secondary_1) + (other_secondary_2 - self_secondary_2)), ((self_secondary_2 / 3) / 2)]
2 | 17.498 | 666.666666667 | -383.442156339 | 909.045730839 | 84 | [((self_secondary_1 + self_secondary_1) - self_secondary_1), ((other_secondary_2 - 39) + 1), ((60 * 16) + (other_secondary_2 / 2)), ((other_secondary_1 / self_secondary_2) - (other_secondary_1 + other_secondary_2)), ((other_primary_1 + other_secondary_1) + (other_secondary_2 - self_secondary_2)), ((self_secondary_2 / 3) / 2)]
3 | 16.924 | 666.666666667 | -61.2193622306 | 784.678334546 | 84 | [((self_secondary_1 + self_secondary_1) - self_secondary_1), ((other_secondary_2 - 39) + 1), ((60 * 16) + (other_secondary_2 / 2)), ((other_secondary_1 / self_secondary_2) - (other_secondary_1 + other_secondary_2)), ((other_primary_1 + other_secondary_1) + (other_secondary_2 - self_secondary_2)), ((self_secondary_2 / 3) / 2)]
4 | 15.245 | 666.666666667 | 1.60758919444 | 772.248130502 | 84 | [((self_secondary_1 + self_secondary_1) - self_secondary_1), ((other_secondary_2 - 39) + 1), ((60 * 16) + (other_secondary_2 / 2)), ((other_secondary_1 / self_secondary_2) - (other_secondary_1 + other_secondary_2)), ((other_primary_1 + other_secondary_1) + (other_secondary_2 - self_secondary_2)), ((self_secondary_2 / 3) / 2)]
5 | 17.715 | 764.297739604 | 23.6112980663 | 791.703549308 | 1269 | [other_primary_1, ((other_secondary_1 - other_secondary_2) - (self_secondary_2 - 1)), (91 + (self_secondary_2 / other_primary_1)), ((other_secondary_2 / self_secondary_1) - (23 - other_secondary_2)), ((self_primary_1 * other_secondary_2) - (85 / self_primary_1)), ((2 * other_primary_1) / (other_primary_1 * self_secondary_2))]
6 | 18.361 | 764.297739604 | 1.65182905446 | 833.669801323 | 1269 | [other_primary_1, ((other_secondary_1 - other_secondary_2) - (self_secondary_2 - 1)), (91 + (self_secondary_2 / other_primary_1)), ((other_secondary_2 / self_secondary_1) - (23 - other_secondary_2)), ((self_primary_1 * other_secondary_2) - (85 / self_primary_1)), ((2 * other_primary_1) / (other_primary_1 * self_secondary_2))]
7 | 16.879 | 764.297739604 | 62.7287731465 | 813.441411308 | 1269 | [other_primary_1, ((other_secondary_1 - other_secondary_2) - (self_secondary_2 - 1)), (91 + (self_secondary_2 / other_primary_1)), ((other_secondary_2 / self_secondary_1) - (23 - other_secondary_2)), ((self_primary_1 * other_secondary_2) - (85 / self_primary_1)), ((2 * other_primary_1) / (other_primary_1 * self_secondary_2))]
8 | 18.542 | 764.297739604 | 23.9754116418 | 856.744373827 | 1269 | [other_primary_1, ((other_secondary_1 - other_secondary_2) - (self_secondary_2 - 1)), (91 + (self_secondary_2 / other_primary_1)), ((other_secondary_2 / self_secondary_1) - (23 - other_secondary_2)), ((self_primary_1 * other_secondary_2) - (85 / self_primary_1)), ((2 * other_primary_1) / (other_primary_1 * self_secondary_2))]
9 | 18.801 | 764.297739604 | 56.2116779597 | 838.3495677 | 1269 | [other_primary_1, ((other_secondary_1 - other_secondary_2) - (self_secondary_2 - 1)), (91 + (self_secondary_2 / other_primary_1)), ((other_secondary_2 / self_secondary_1) - (23 - other_secondary_2)), ((self_primary_1 * other_secondary_2) - (85 / self_primary_1)), ((2 * other_primary_1) / (other_primary_1 * self_secondary_2))]
10 | 19.026 | 764.297739604 | 69.1331288872 | 830.713546428 | 1269 | [other_primary_1, ((other_secondary_1 - other_secondary_2) - (self_secondary_2 - 1)), (91 + (self_secondary_2 / other_primary_1)), ((other_secondary_2 / self_secondary_1) - (23 - other_secondary_2)), ((self_primary_1 * other_secondary_2) - (85 / self_primary_1)), ((2 * other_primary_1) / (other_primary_1 * self_secondary_2))]
