0, r2-m0-c8,r2-m2-c6,r2-m4-c4,r2-m6-c2,r2-m8-c0,r4-m0-c6,r4-m2-c4,r4-m4-c2,r4-m6-c0,r6-m0-c4,r6-m2-c2,r6-m4-c0,r8-m0-c2,r8-m2-c0
1,  727.834473024 , 764.297739604 , 764.297739604 , 764.297739604 , 893.5205725 , 764.297739604 , 850.9288015 , 764.297739604 , 764.297739604 , 764.297739604 , 784.834258544 , 807.54991027 , 850.9288015 , 764.297739604 
2,  764.297739604 , 803.661636875 , 1000.0 , 850.9288015 , 893.5205725 , 764.297739604 , 850.9288015 , 850.9288015 , 764.297739604 , 764.297739604 , 784.834258544 , 807.54991027 , 850.9288015 , 764.297739604 
3,  807.54991027 , 811.438191684 , 1000.0 , 850.9288015 , 893.5205725 , 850.9288015 , 850.9288015 , 850.9288015 , 807.54991027 , 807.54991027 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
4,  813.661001875 , 811.438191684 , 1000.0 , 850.9288015 , 893.5205725 , 850.9288015 , 850.9288015 , 850.9288015 , 807.54991027 , 807.54991027 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
5,  813.661001875 , 813.661001875 , 1000.0 , 850.9288015 , 893.5205725 , 850.9288015 , 850.9288015 , 850.9288015 , 807.54991027 , 807.54991027 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
6,  893.5205725 , 813.661001875 , 1000.0 , 850.9288015 , 893.5205725 , 882.148869802 , 850.9288015 , 850.9288015 , 807.54991027 , 807.54991027 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
7,  893.5205725 , 813.661001875 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 850.9288015 , 850.9288015 , 807.54991027 , 807.54991027 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
8,  893.5205725 , 813.661001875 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 850.9288015 , 850.9288015 , 807.54991027 , 807.54991027 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
9,  893.5205725 , 813.661001875 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 850.9288015 , 850.9288015 , 807.54991027 , 882.148869802 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
10,  893.5205725 , 813.661001875 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 850.9288015 , 850.9288015 , 807.54991027 , 882.148869802 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
11,  893.5205725 , 1000.0 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 850.9288015 , 861.918851099 , 807.54991027 , 882.148869802 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
12,  893.5205725 , 1000.0 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 850.9288015 , 861.918851099 , 830.274974261 , 882.148869802 , 830.274974261 , 807.54991027 , 850.9288015 , 764.297739604 
13,  893.5205725 , 1000.0 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 857.142857143 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 764.297739604 
14,  893.5205725 , 1000.0 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 857.142857143 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 764.297739604 
15,  893.5205725 , 1000.0 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 857.142857143 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 764.297739604 
16,  893.5205725 , 1000.0 , 1000.0 , 888.888888889 , 893.5205725 , 882.148869802 , 893.5205725 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 764.297739604 
17,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 882.148869802 , 893.5205725 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 807.54991027 
18,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 882.148869802 , 893.5205725 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 807.54991027 
19,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 882.148869802 , 893.5205725 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 807.54991027 
20,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 882.148869802 , 893.5205725 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 807.54991027 
21,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 882.148869802 , 893.5205725 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 807.54991027 
22,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 893.5205725 , 893.5205725 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 807.54991027 
23,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 893.5205725 , 1000.0 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 807.54991027 , 850.9288015 , 807.54991027 
24,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 893.5205725 , 1000.0 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 850.9288015 , 850.9288015 , 807.54991027 
25,  1000.0 , 1000.0 , 1000.0 , 888.888888889 , 942.664923654 , 893.5205725 , 1000.0 , 861.918851099 , 830.274974261 , 882.148869802 , 875.057405284 , 850.9288015 , 850.9288015 , 807.54991027 
