Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
tree-gen-6-8 | MinimaxPlayer | MinimaxPlayer | FunctionTree | 1 | 2 | 0.6 | 0.8

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 78.767 | 764.297739604 | -695.642981679 | 917.876931278 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
2 | 70.521 | 764.297739604 | -477.990765624 | 925.465015933 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
3 | 68.218 | 764.297739604 | -193.045456375 | 878.083778596 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
4 | 70.465 | 764.297739604 | -195.3674507 | 912.892021757 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
5 | 69.566 | 764.297739604 | -136.105772984 | 918.976860167 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
6 | 66.722 | 764.297739604 | -132.656768391 | 915.670368878 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
7 | 66.888 | 764.297739604 | -129.883294792 | 914.924921667 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
8 | 68.074 | 764.297739604 | -147.8383712 | 918.891169627 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
9 | 71.063 | 764.297739604 | -149.222811005 | 922.979313052 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
10 | 74.103 | 764.297739604 | -189.749624393 | 940.481250951 | 330 | [self_secondary_2=(2 * (self_secondary_2 + 1)), other_primary_1=other_primary_1, other_secondary_1=(other_secondary_1 * (other_secondary_1 / 3)), other_primary_1=((other_secondary_1 / other_primary_1) - (self_secondary_2 * self_secondary_2)), other_secondary_2=((other_secondary_2 - other_primary_1) - 1), self_primary_1=((self_primary_1 / 2) / 3)]
