Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
vector-players-minimax-random | MinimaxPlayer | RandomPlayer | FunctionVector | 1 | 2 | 0.3 | 0.5

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 43.345 | 856.556172363 | 3.50415526021 | 888.91616265 | 323 | [{'self_secondary_1': 4, 'self_secondary_2': -4} + 3, {'other_secondary_1': -3, 'self_secondary_1': 1, 'self_secondary_2': -3, 'other_secondary_2': 5} + -5, {'other_primary_1': 0, 'other_secondary_1': 4, 'other_secondary_2': -4, 'self_secondary_1': 1, 'self_secondary_2': -3, 'self_primary_1': -5} + -1, {'other_secondary_1': -5, 'self_secondary_1': 2, 'self_secondary_2': -5, 'other_secondary_2': 0} + -5, {'self_secondary_1': -2, 'self_secondary_2': 3, 'self_primary_1': -2} + 5, {'other_primary_1': -5, 'other_secondary_1': -2, 'other_secondary_2': -4, 'self_secondary_1': -2, 'self_secondary_2': -3, 'self_primary_1': 3} + 4]
2 | 34.343 | 882.148869802 | 259.718953614 | 768.562822176 | 731 | [{'other_secondary_1': -2, 'self_secondary_1': 5, 'self_secondary_2': 8, 'other_secondary_2': 8} + 5, {'self_secondary_1': 4, 'self_secondary_2': 0, 'self_primary_1': -6} + -4, {'other_secondary_1': -3, 'self_secondary_1': 3, 'self_secondary_2': 5, 'other_secondary_2': -4} + 1, {'self_secondary_1': -4, 'self_secondary_2': -2, 'self_primary_1': 4} + 7, {'other_secondary_1': -3, 'self_secondary_1': 6, 'self_secondary_2': -1, 'other_secondary_2': 1} + 2, {'self_secondary_1': 0, 'self_secondary_2': -10} + 3]
3 | 34.304 | 903.774955135 | 320.573049504 | 736.624893441 | 901 | [{'other_secondary_1': 2, 'self_secondary_1': -2, 'self_secondary_2': 3, 'other_secondary_2': 13} + 2, {'other_secondary_1': 4, 'other_primary_1': -3, 'other_secondary_2': -3, 'self_secondary_1': -6, 'self_secondary_2': 0, 'self_primary_1': -1} + -3, {'self_secondary_1': -4, 'self_secondary_2': -3, 'self_primary_1': 4} + 6, {'other_secondary_1': -1, 'self_secondary_1': 2, 'self_secondary_2': 3, 'other_secondary_2': 2} + 7, {'other_secondary_1': -4, 'other_primary_1': 2, 'other_secondary_2': -9, 'self_secondary_1': -7, 'self_secondary_2': -3, 'self_primary_1': -3} + 4, {'other_secondary_1': -4, 'self_secondary_1': -8, 'self_secondary_2': 5, 'other_secondary_2': 3} + 3]
4 | 34.132 | 903.774955135 | 347.494776764 | 714.78870505 | 901 | [{'other_secondary_1': 2, 'self_secondary_1': -2, 'self_secondary_2': 3, 'other_secondary_2': 13} + 2, {'other_secondary_1': 4, 'other_primary_1': -3, 'other_secondary_2': -3, 'self_secondary_1': -6, 'self_secondary_2': 0, 'self_primary_1': -1} + -3, {'self_secondary_1': -4, 'self_secondary_2': -3, 'self_primary_1': 4} + 6, {'other_secondary_1': -1, 'self_secondary_1': 2, 'self_secondary_2': 3, 'other_secondary_2': 2} + 7, {'other_secondary_1': -4, 'other_primary_1': 2, 'other_secondary_2': -9, 'self_secondary_1': -7, 'self_secondary_2': -3, 'self_primary_1': -3} + 4, {'other_secondary_1': -4, 'self_secondary_1': -8, 'self_secondary_2': 5, 'other_secondary_2': 3} + 3]
5 | 34.918 | 905.719095842 | 307.509774294 | 772.660015703 | 1811 | [{'other_secondary_1': -0.5, 'self_secondary_1': -2.0, 'self_secondary_2': 1.25, 'other_secondary_2': 0.0} + -5.25, {'self_secondary_1': 1.5, 'self_secondary_2': 1.0} + -6.5, {'other_secondary_1': 0.0, 'other_primary_1': 5.5, 'other_secondary_2': -0.25, 'self_secondary_1': 0.0, 'self_secondary_2': -2.75, 'self_primary_1': 1.25} + -1.75, {'other_secondary_1': 0, 'self_secondary_1': 5, 'self_secondary_2': -5, 'other_secondary_2': -3} + -2, {'self_secondary_1': -1.0, 'self_secondary_2': -4.0, 'self_primary_1': -5.5} + 3.5, {'other_secondary_1': 3, 'other_primary_1': 1, 'other_secondary_2': 4, 'self_secondary_1': 7, 'self_secondary_2': 5, 'self_primary_1': -1} + -11]
6 | 34.725 | 905.719095842 | 310.025352923 | 759.963680062 | 1811 | [{'other_secondary_1': -0.5, 'self_secondary_1': -2.0, 'self_secondary_2': 1.25, 'other_secondary_2': 0.0} + -5.25, {'self_secondary_1': 1.5, 'self_secondary_2': 1.0} + -6.5, {'other_secondary_1': 0.0, 'other_primary_1': 5.5, 'other_secondary_2': -0.25, 'self_secondary_1': 0.0, 'self_secondary_2': -2.75, 'self_primary_1': 1.25} + -1.75, {'other_secondary_1': 0, 'self_secondary_1': 5, 'self_secondary_2': -5, 'other_secondary_2': -3} + -2, {'self_secondary_1': -1.0, 'self_secondary_2': -4.0, 'self_primary_1': -5.5} + 3.5, {'other_secondary_1': 3, 'other_primary_1': 1, 'other_secondary_2': 4, 'self_secondary_1': 7, 'self_secondary_2': 5, 'self_primary_1': -1} + -11]
7 | 35.568 | 932.65649703 | 316.666752157 | 756.383618098 | 2339 | [{'other_secondary_1': 6, 'self_secondary_1': 2, 'self_secondary_2': -5, 'other_secondary_2': 15} + -4, {'other_secondary_1': -1, 'other_primary_1': -15, 'other_secondary_2': -2, 'self_secondary_1': 2, 'self_secondary_2': 3, 'self_primary_1': 13} + 0, {'self_secondary_1': 9, 'self_secondary_2': -6, 'self_primary_1': 1} + -5, {'other_secondary_1': 6, 'self_secondary_1': -4, 'self_secondary_2': 5, 'other_secondary_2': -4} + 4, {'other_secondary_1': -4, 'self_secondary_1': -2, 'self_secondary_2': 3, 'other_secondary_2': 0} + 2, {'other_secondary_1': 3, 'other_primary_1': 5, 'other_secondary_2': -3, 'self_secondary_1': -4, 'self_secondary_2': -10, 'self_primary_1': -9} + -2]
8 | 33.715 | 932.65649703 | 395.118748219 | 683.579035461 | 2339 | [{'other_secondary_1': 6, 'self_secondary_1': 2, 'self_secondary_2': -5, 'other_secondary_2': 15} + -4, {'other_secondary_1': -1, 'other_primary_1': -15, 'other_secondary_2': -2, 'self_secondary_1': 2, 'self_secondary_2': 3, 'self_primary_1': 13} + 0, {'self_secondary_1': 9, 'self_secondary_2': -6, 'self_primary_1': 1} + -5, {'other_secondary_1': 6, 'self_secondary_1': -4, 'self_secondary_2': 5, 'other_secondary_2': -4} + 4, {'other_secondary_1': -4, 'self_secondary_1': -2, 'self_secondary_2': 3, 'other_secondary_2': 0} + 2, {'other_secondary_1': 3, 'other_primary_1': 5, 'other_secondary_2': -3, 'self_secondary_1': -4, 'self_secondary_2': -10, 'self_primary_1': -9} + -2]
9 | 34.203 | 932.65649703 | 350.308511506 | 734.472919756 | 2339 | [{'other_secondary_1': 6, 'self_secondary_1': 2, 'self_secondary_2': -5, 'other_secondary_2': 15} + -4, {'other_secondary_1': -1, 'other_primary_1': -15, 'other_secondary_2': -2, 'self_secondary_1': 2, 'self_secondary_2': 3, 'self_primary_1': 13} + 0, {'self_secondary_1': 9, 'self_secondary_2': -6, 'self_primary_1': 1} + -5, {'other_secondary_1': 6, 'self_secondary_1': -4, 'self_secondary_2': 5, 'other_secondary_2': -4} + 4, {'other_secondary_1': -4, 'self_secondary_1': -2, 'self_secondary_2': 3, 'other_secondary_2': 0} + 2, {'other_secondary_1': 3, 'other_primary_1': 5, 'other_secondary_2': -3, 'self_secondary_1': -4, 'self_secondary_2': -10, 'self_primary_1': -9} + -2]
10 | 35.368 | 1000.0 | 340.036693536 | 755.3895436 | 3465 | [{'other_secondary_1': 11.0, 'self_secondary_1': -4.5, 'self_secondary_2': -1.0, 'other_secondary_2': -9.0} + -6.0, {'self_secondary_1': 4.0, 'self_secondary_2': -2.5} + -12.5, {'self_secondary_1': -3.5, 'self_secondary_2': 3.5, 'self_primary_1': -9.0} + 5.0, {'other_secondary_1': 6, 'other_primary_1': -5, 'other_secondary_2': -11, 'self_secondary_1': 5, 'self_secondary_2': -10, 'self_primary_1': 2} + 1, {'self_secondary_1': 20, 'self_secondary_2': 2} + -11, {'other_secondary_1': -3, 'self_secondary_1': -15, 'self_secondary_2': -6, 'other_secondary_2': -12} + -4]
