Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
tree-attributes-p2s1 | MinimaxPlayer | MinimaxPlayer | FunctionTree | 2 | 1 | 0.3 | 0.5

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 36.293 | 764.297739604 | -524.758322879 | 938.372875178 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
2 | 26.54 | 764.297739604 | -219.868835593 | 915.368651312 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
3 | 119.888 | 764.297739604 | -224.630609119 | 936.634566224 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
4 | 19.395 | 764.297739604 | -127.342612715 | 903.074306603 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
5 | 24.756 | 764.297739604 | -203.981686392 | 943.310664925 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
6 | 25.341 | 764.297739604 | -159.551066477 | 927.201465752 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
7 | 24.553 | 764.297739604 | -169.737356021 | 935.320363912 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
8 | 23.148 | 764.297739604 | -109.13414305 | 916.330898237 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
9 | 22.704 | 764.297739604 | -76.6440683196 | 906.852775902 | 135 | [other_secondary_1=((95 - other_secondary_1) / 2), other_primary_2=((self_primary_2 + other_primary_2) + self_primary_2), self_secondary_1=((self_secondary_1 - other_secondary_1) * (self_secondary_1 * self_primary_1)), other_primary_2=((other_secondary_1 * other_primary_2) - (other_primary_2 * other_secondary_1)), self_primary_1=self_primary_1, self_primary_2=((71 / self_primary_2) - (other_primary_1 / 3))]
10 | 25.754 | 807.54991027 | -144.421134087 | 943.89116116 | 3603 | [self_primary_1=((42 / 3) + (other_secondary_1 * self_primary_1)), other_primary_2=((other_primary_2 - 1) / (self_primary_2 / 2)), self_primary_2=((self_primary_2 / other_primary_1) - (self_primary_2 - 1)), self_secondary_1=((self_primary_2 / other_secondary_1) / (self_secondary_1 / 3)), other_primary_1=((51 * self_primary_2) / (46 * other_primary_1)), other_secondary_1=((other_secondary_1 - other_secondary_1) - (other_secondary_1 + self_primary_1))]
