Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
tree-players-random-random | RandomPlayer | RandomPlayer | FunctionTree | 1 | 2 | 0.3 | 0.5

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 4.371 | 1000.0 | 123.670010981 | 819.558283028 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
2 | 4.323 | 1000.0 | 399.29119476 | 693.032675894 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
3 | 4.383 | 1000.0 | 401.214439441 | 704.592853635 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
4 | 4.375 | 1000.0 | 362.035684458 | 737.741283411 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
5 | 4.43 | 1000.0 | 405.774744815 | 715.57732396 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
6 | 4.497 | 1000.0 | 404.106088637 | 712.300906246 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
7 | 4.549 | 1000.0 | 382.726984434 | 730.656605776 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
8 | 4.541 | 1000.0 | 405.637964134 | 725.115765098 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
9 | 4.536 | 1000.0 | 364.283200292 | 752.06815053 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
10 | 4.528 | 1000.0 | 382.972693101 | 743.509725975 | 161 | [((self_primary_1 * 82) + self_secondary_1), (self_primary_1 - (other_secondary_1 + 1)), other_secondary_2, ((self_secondary_2 / self_secondary_1) / 2), ((2 * self_primary_1) * (2 * other_secondary_1)), (3 * (self_secondary_1 + self_secondary_2))]
