Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
vector-gen-6-2 | MinimaxPlayer | MinimaxPlayer | FunctionVector | 1 | 2 | 0.6 | 0.2

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 29.943 | 784.834258544 | -367.939849557 | 989.78085194 | 169 | [{'other_secondary_1': 0, 'self_secondary_1': 0, 'self_secondary_2': 2, 'other_secondary_2': -3} + 3, {'other_primary_1': -1, 'other_secondary_1': -3, 'other_secondary_2': -4, 'self_secondary_1': -5, 'self_secondary_2': 1, 'self_primary_1': 5} + 1, {'self_secondary_1': -4, 'self_secondary_2': 3} + 4, {'other_primary_1': 0, 'other_secondary_1': -5, 'other_secondary_2': 3, 'self_secondary_1': 5, 'self_secondary_2': -5, 'self_primary_1': 5} + 5, {'other_primary_1': -1, 'other_secondary_1': -4, 'other_secondary_2': 1, 'self_secondary_1': -1, 'self_secondary_2': -4, 'self_primary_1': 1} + -1, {'other_secondary_1': -2, 'self_secondary_1': -4, 'self_secondary_2': -1, 'other_secondary_2': 1} + -4]
2 | 13.844 | 784.834258544 | 225.709907477 | 697.852343784 | 169 | [{'other_secondary_1': 0, 'self_secondary_1': 0, 'self_secondary_2': 2, 'other_secondary_2': -3} + 3, {'other_primary_1': -1, 'other_secondary_1': -3, 'other_secondary_2': -4, 'self_secondary_1': -5, 'self_secondary_2': 1, 'self_primary_1': 5} + 1, {'self_secondary_1': -4, 'self_secondary_2': 3} + 4, {'other_primary_1': 0, 'other_secondary_1': -5, 'other_secondary_2': 3, 'self_secondary_1': 5, 'self_secondary_2': -5, 'self_primary_1': 5} + 5, {'other_primary_1': -1, 'other_secondary_1': -4, 'other_secondary_2': 1, 'self_secondary_1': -1, 'self_secondary_2': -4, 'self_primary_1': 1} + -1, {'other_secondary_1': -2, 'self_secondary_1': -4, 'self_secondary_2': -1, 'other_secondary_2': 1} + -4]
3 | 14.748 | 830.274974261 | 260.841601101 | 694.940334482 | 883 | [{'other_secondary_1': -3, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': -3} + 2, {'self_secondary_1': 5, 'self_secondary_2': -3} + -5, {'other_secondary_1': 1.0, 'self_secondary_1': -3.0, 'self_secondary_2': 1.5, 'other_secondary_2': 0.0} + 2.0, {'other_secondary_1': -2, 'self_secondary_1': -1, 'self_secondary_2': -1, 'other_secondary_2': -1} + -2, {'self_secondary_1': -2, 'self_secondary_2': -4, 'self_primary_1': -1} + -5, {'other_secondary_1': 1, 'other_primary_1': -5, 'other_secondary_2': 2, 'self_secondary_1': 4, 'self_secondary_2': -6, 'self_primary_1': -5} + 0]
4 | 15.396 | 830.274974261 | 248.656191412 | 722.316844026 | 883 | [{'other_secondary_1': -3, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': -3} + 2, {'self_secondary_1': 5, 'self_secondary_2': -3} + -5, {'other_secondary_1': 1.0, 'self_secondary_1': -3.0, 'self_secondary_2': 1.5, 'other_secondary_2': 0.0} + 2.0, {'other_secondary_1': -2, 'self_secondary_1': -1, 'self_secondary_2': -1, 'other_secondary_2': -1} + -2, {'self_secondary_1': -2, 'self_secondary_2': -4, 'self_primary_1': -1} + -5, {'other_secondary_1': 1, 'other_primary_1': -5, 'other_secondary_2': 2, 'self_secondary_1': 4, 'self_secondary_2': -6, 'self_primary_1': -5} + 0]
5 | 15.696 | 830.274974261 | 256.626328046 | 722.194491862 | 883 | [{'other_secondary_1': -3, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': -3} + 2, {'self_secondary_1': 5, 'self_secondary_2': -3} + -5, {'other_secondary_1': 1.0, 'self_secondary_1': -3.0, 'self_secondary_2': 1.5, 'other_secondary_2': 0.0} + 2.0, {'other_secondary_1': -2, 'self_secondary_1': -1, 'self_secondary_2': -1, 'other_secondary_2': -1} + -2, {'self_secondary_1': -2, 'self_secondary_2': -4, 'self_primary_1': -1} + -5, {'other_secondary_1': 1, 'other_primary_1': -5, 'other_secondary_2': 2, 'self_secondary_1': 4, 'self_secondary_2': -6, 'self_primary_1': -5} + 0]
6 | 15.101 | 830.274974261 | 268.118453372 | 715.110538398 | 883 | [{'other_secondary_1': -3, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': -3} + 2, {'self_secondary_1': 5, 'self_secondary_2': -3} + -5, {'other_secondary_1': 1.0, 'self_secondary_1': -3.0, 'self_secondary_2': 1.5, 'other_secondary_2': 0.0} + 2.0, {'other_secondary_1': -2, 'self_secondary_1': -1, 'self_secondary_2': -1, 'other_secondary_2': -1} + -2, {'self_secondary_1': -2, 'self_secondary_2': -4, 'self_primary_1': -1} + -5, {'other_secondary_1': 1, 'other_primary_1': -5, 'other_secondary_2': 2, 'self_secondary_1': 4, 'self_secondary_2': -6, 'self_primary_1': -5} + 0]
7 | 19.623 | 830.274974261 | 223.335395462 | 763.481270849 | 883 | [{'other_secondary_1': -3, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': -3} + 2, {'self_secondary_1': 5, 'self_secondary_2': -3} + -5, {'other_secondary_1': 1.0, 'self_secondary_1': -3.0, 'self_secondary_2': 1.5, 'other_secondary_2': 0.0} + 2.0, {'other_secondary_1': -2, 'self_secondary_1': -1, 'self_secondary_2': -1, 'other_secondary_2': -1} + -2, {'self_secondary_1': -2, 'self_secondary_2': -4, 'self_primary_1': -1} + -5, {'other_secondary_1': 1, 'other_primary_1': -5, 'other_secondary_2': 2, 'self_secondary_1': 4, 'self_secondary_2': -6, 'self_primary_1': -5} + 0]
8 | 17.854 | 830.274974261 | 287.326999673 | 706.415269971 | 883 | [{'other_secondary_1': -3, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': -3} + 2, {'self_secondary_1': 5, 'self_secondary_2': -3} + -5, {'other_secondary_1': 1.0, 'self_secondary_1': -3.0, 'self_secondary_2': 1.5, 'other_secondary_2': 0.0} + 2.0, {'other_secondary_1': -2, 'self_secondary_1': -1, 'self_secondary_2': -1, 'other_secondary_2': -1} + -2, {'self_secondary_1': -2, 'self_secondary_2': -4, 'self_primary_1': -1} + -5, {'other_secondary_1': 1, 'other_primary_1': -5, 'other_secondary_2': 2, 'self_secondary_1': 4, 'self_secondary_2': -6, 'self_primary_1': -5} + 0]
9 | 18.762 | 830.274974261 | 291.059378976 | 716.801022043 | 883 | [{'other_secondary_1': -3, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': -3} + 2, {'self_secondary_1': 5, 'self_secondary_2': -3} + -5, {'other_secondary_1': 1.0, 'self_secondary_1': -3.0, 'self_secondary_2': 1.5, 'other_secondary_2': 0.0} + 2.0, {'other_secondary_1': -2, 'self_secondary_1': -1, 'self_secondary_2': -1, 'other_secondary_2': -1} + -2, {'self_secondary_1': -2, 'self_secondary_2': -4, 'self_primary_1': -1} + -5, {'other_secondary_1': 1, 'other_primary_1': -5, 'other_secondary_2': 2, 'self_secondary_1': 4, 'self_secondary_2': -6, 'self_primary_1': -5} + 0]
10 | 14.413 | 830.274974261 | 363.095276394 | 639.823964856 | 883 | [{'other_secondary_1': -3, 'self_secondary_1': 0, 'self_secondary_2': 3, 'other_secondary_2': -3} + 2, {'self_secondary_1': 5, 'self_secondary_2': -3} + -5, {'other_secondary_1': 1.0, 'self_secondary_1': -3.0, 'self_secondary_2': 1.5, 'other_secondary_2': 0.0} + 2.0, {'other_secondary_1': -2, 'self_secondary_1': -1, 'self_secondary_2': -1, 'other_secondary_2': -1} + -2, {'self_secondary_1': -2, 'self_secondary_2': -4, 'self_primary_1': -1} + -5, {'other_secondary_1': 1, 'other_primary_1': -5, 'other_secondary_2': 2, 'self_secondary_1': 4, 'self_secondary_2': -6, 'self_primary_1': -5} + 0]
