Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
long-tree | MinimaxPlayer | MinimaxPlayer | FunctionTree | 1 | 3 | 0.2 | 0.6

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 50.806 | 666.666666667 | -694.312842731 | 920.416771752 | 166 | [other_primary_1=((self_secondary_3 / 3) - 1), other_secondary_1=((other_secondary_1 / self_primary_1) + (self_secondary_2 / self_primary_1)), self_secondary_1=((63 - self_secondary_1) / 3), other_primary_1=((self_primary_1 + self_secondary_1) / (other_secondary_3 + 1)), self_secondary_3=((self_secondary_3 / 3) - 1), self_secondary_1=((self_secondary_1 / self_secondary_3) * self_secondary_1)]
2 | 49.764 | 666.666666667 | -394.709440945 | 950.472644921 | 166 | [other_primary_1=((self_secondary_3 / 3) - 1), other_secondary_1=((other_secondary_1 / self_primary_1) + (self_secondary_2 / self_primary_1)), self_secondary_1=((63 - self_secondary_1) / 3), other_primary_1=((self_primary_1 + self_secondary_1) / (other_secondary_3 + 1)), self_secondary_3=((self_secondary_3 / 3) - 1), self_secondary_1=((self_secondary_1 / self_secondary_3) * self_secondary_1)]
3 | 42.411 | 666.666666667 | -402.319230128 | 945.23342746 | 166 | [other_primary_1=((self_secondary_3 / 3) - 1), other_secondary_1=((other_secondary_1 / self_primary_1) + (self_secondary_2 / self_primary_1)), self_secondary_1=((63 - self_secondary_1) / 3), other_primary_1=((self_primary_1 + self_secondary_1) / (other_secondary_3 + 1)), self_secondary_3=((self_secondary_3 / 3) - 1), self_secondary_1=((self_secondary_1 / self_secondary_3) * self_secondary_1)]
4 | 43.091 | 666.666666667 | -453.098431439 | 962.304958514 | 166 | [other_primary_1=((self_secondary_3 / 3) - 1), other_secondary_1=((other_secondary_1 / self_primary_1) + (self_secondary_2 / self_primary_1)), self_secondary_1=((63 - self_secondary_1) / 3), other_primary_1=((self_primary_1 + self_secondary_1) / (other_secondary_3 + 1)), self_secondary_3=((self_secondary_3 / 3) - 1), self_secondary_1=((self_secondary_1 / self_secondary_3) * self_secondary_1)]
5 | 45.072 | 666.666666667 | -498.768831729 | 968.031960033 | 166 | [other_primary_1=((self_secondary_3 / 3) - 1), other_secondary_1=((other_secondary_1 / self_primary_1) + (self_secondary_2 / self_primary_1)), self_secondary_1=((63 - self_secondary_1) / 3), other_primary_1=((self_primary_1 + self_secondary_1) / (other_secondary_3 + 1)), self_secondary_3=((self_secondary_3 / 3) - 1), self_secondary_1=((self_secondary_1 / self_secondary_3) * self_secondary_1)]
6 | 47.1 | 666.666666667 | -488.310578017 | 967.244265568 | 166 | [other_primary_1=((self_secondary_3 / 3) - 1), other_secondary_1=((other_secondary_1 / self_primary_1) + (self_secondary_2 / self_primary_1)), self_secondary_1=((63 - self_secondary_1) / 3), other_primary_1=((self_primary_1 + self_secondary_1) / (other_secondary_3 + 1)), self_secondary_3=((self_secondary_3 / 3) - 1), self_secondary_1=((self_secondary_1 / self_secondary_3) * self_secondary_1)]
7 | 47.697 | 666.666666667 | -464.506643771 | 956.188142402 | 166 | [other_primary_1=((self_secondary_3 / 3) - 1), other_secondary_1=((other_secondary_1 / self_primary_1) + (self_secondary_2 / self_primary_1)), self_secondary_1=((63 - self_secondary_1) / 3), other_primary_1=((self_primary_1 + self_secondary_1) / (other_secondary_3 + 1)), self_secondary_3=((self_secondary_3 / 3) - 1), self_secondary_1=((self_secondary_1 / self_secondary_3) * self_secondary_1)]
8 | 42.501 | 666.666666667 | -421.826711264 | 961.833721954 | 166 | [other_primary_1=((self_secondary_3 / 3) - 1), other_secondary_1=((other_secondary_1 / self_primary_1) + (self_secondary_2 / self_primary_1)), self_secondary_1=((63 - self_secondary_1) / 3), other_primary_1=((self_primary_1 + self_secondary_1) / (other_secondary_3 + 1)), self_secondary_3=((self_secondary_3 / 3) - 1), self_secondary_1=((self_secondary_1 / self_secondary_3) * self_secondary_1)]
9 | 42.215 | 764.297739604 | -436.493040009 | 969.881181306 | 3659 | [self_secondary_3=((3 * self_secondary_1) + (self_secondary_3 * other_primary_1)), other_primary_1=((self_secondary_3 / other_primary_1) + (self_secondary_2 / 2)), other_secondary_1=((58 * other_secondary_1) + (self_secondary_3 + 56)), other_primary_1=((other_primary_1 - self_secondary_2) / (self_secondary_2 + self_primary_1)), other_secondary_3=((other_secondary_3 - other_secondary_3) * (self_secondary_2 / 2)), self_primary_1=((2 * self_primary_1) / (other_secondary_2 - 1))]
10 | 45.217 | 764.297739604 | -421.814394878 | 959.553477609 | 3659 | [self_secondary_3=((3 * self_secondary_1) + (self_secondary_3 * other_primary_1)), other_primary_1=((self_secondary_3 / other_primary_1) + (self_secondary_2 / 2)), other_secondary_1=((58 * other_secondary_1) + (self_secondary_3 + 56)), other_primary_1=((other_primary_1 - self_secondary_2) / (self_secondary_2 + self_primary_1)), other_secondary_3=((other_secondary_3 - other_secondary_3) * (self_secondary_2 / 2)), self_primary_1=((2 * self_primary_1) / (other_secondary_2 - 1))]
