Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
tree-gen-2-4 | MinimaxPlayer | MinimaxPlayer | FunctionTree | 1 | 2 | 0.2 | 0.4

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 80.206 | 666.666666667 | -741.613141017 | 914.020431088 | 124 | [other_primary_1=((other_secondary_1 + self_secondary_2) / 2), self_secondary_1=((other_secondary_1 / self_secondary_1) * other_primary_1), self_secondary_1=((85 - self_secondary_1) * (other_secondary_2 / 69)), self_secondary_2=((self_secondary_2 - 91) - 1), self_secondary_2=((self_secondary_2 / 2) / (self_secondary_2 - self_secondary_2)), other_primary_1=(3 * (3 * other_primary_1))]
2 | 64.07 | 764.297739604 | -429.222283471 | 960.335630928 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
3 | 61.75 | 764.297739604 | -363.057726197 | 953.972997324 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
4 | 56.668 | 764.297739604 | -355.518630882 | 950.312293438 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
5 | 64.867 | 764.297739604 | -507.822075118 | 966.872598929 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
6 | 64.757 | 764.297739604 | -431.775660417 | 966.477895212 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
7 | 64.057 | 764.297739604 | -452.888523662 | 974.216320274 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
8 | 70.399 | 764.297739604 | -563.471352556 | 971.282350632 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
9 | 64.72 | 764.297739604 | -453.271270694 | 974.947568698 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
10 | 59.461 | 764.297739604 | -341.300968791 | 962.345502321 | 735 | [self_secondary_2=(self_secondary_1 / (self_secondary_1 - self_secondary_2)), other_primary_1=((79 + 1) - (other_primary_1 / self_secondary_1)), self_primary_1=(2 * (self_primary_1 / 2)), other_primary_1=((self_secondary_2 + self_primary_1) / 2), self_secondary_2=(2 * (92 + 55)), other_secondary_2=((self_primary_1 + other_secondary_2) / (other_primary_1 / other_secondary_1))]
